[02.04 01:15:12] AUDIT, Player 가츠 has invalid skill 나이트후드 (429/13), class:에바스 템플러, Player:가츠[268469059], BROADCAST
[02.07 00:08:16] AUDIT, Player 가츠 has invalid skill null (30267/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.07 00:30:56] AUDIT, Player 가츠 has invalid skill 추가 입장권 - 카마로카 (심연의 홀) (2589/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 매지션즈 무브먼트 (118/1), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 안티 매직 (146/54), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 스펠 크래프트 (163/1), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 퀵 리커버리 (164/3), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 패스트 HP 리커버리 (212/6), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 부스트 마나 (213/8), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 마나 리커버리 (214/1), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 패스트 스펠 캐스팅 (228/3), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 패스트 마나 리커버리 (229/7), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 로브 마스터리 (234/50), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 아머 마스터리 (244/3), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
