[02.04 00:22:48] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +1 페트람 아가시온(1) [268468368], 파멸의 아가시온 강화 주문서(12) [268733467]
[02.04 00:22:51] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +2 페트람 아가시온(1) [268468368], 파멸의 아가시온 강화 주문서(11) [268733467]
[02.04 00:22:53] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +3 페트람 아가시온(1) [268468368], 파멸의 아가시온 강화 주문서(10) [268733467]
[02.04 00:22:56] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +4 페트람 아가시온(1) [268468368], 파멸의 아가시온 강화 주문서(9) [268733467]
[02.04 00:22:59] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +5 페트람 아가시온(1) [268468368], 파멸의 아가시온 강화 주문서(8) [268733467]
[02.04 00:23:03] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +5 페트람 아가시온(1) [268468368], 파멸의 아가시온 강화 주문서(7) [268733467]
[02.04 00:23:09] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +6 페트람 아가시온(1) [268468368], 파멸의 아가시온 강화 주문서(6) [268733467]
[02.04 00:23:13] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +6 페트람 아가시온(1) [268468368], 파멸의 아가시온 강화 주문서(5) [268733467]
[02.04 00:23:19] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +6 페트람 아가시온(1) [268468368], 파멸의 아가시온 강화 주문서(4) [268733467]
[02.04 00:23:24] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +7 페트람 아가시온(1) [268468368], 파멸의 아가시온 강화 주문서(3) [268733467]
[02.04 00:23:28] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +8 페트람 아가시온(1) [268468368], 파멸의 아가시온 강화 주문서(2) [268733467]
[05.21 15:15:48] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +1 타천사의 반지(1) [268467505], 축복받은 레어 액세서리 강화 주문서(11) [268467548]
